,Body Damage,Head Damage,Rate of Fire (RPM),Magazine Size,Damage Per Magazine,Empty Reload Time (seconds),Tactical Reload Time (seconds),Shots Per Burst,Delay Until Next Burst (seconds),TTK vs. Light @ Body (seconds),STK (L),TTK vs. Medium @ Body (seconds),STK (M),TTK vs. Heavy @ Body (seconds),STK (H),TTK vs. Light @ Head (seconds),STK (L),TTK vs. Medium @ Head (seconds),STK (M),TTK vs. Heavy @ Head (seconds),STK (H),Damage Dropoff Minimum Range,Damage Dropoff Maximum Range,Damage Dropoff Modifier @ Max Range,Notes
XP-54,16,24,880,34,544,2.5,2.25,-,-,0.61,10,1.02,16,1.43,22,0.41,7,0.68,11,0.95,15,22.5m,32.5m,~52%,
MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,20,30,600,34,680,2.35,2.35,-,-,0.70,8,1.20,13,1.70,18,0.40,5,0.80,9,1.10,12,30m,37.5m,~55%,
CB-01 Repeater,84,126,82,8,672,5.05,-,-,-,0.73,2,1.46,3,2.93,5,0.73,2,0.73,2,1.46,3,35m,40m,~64%,"Firing the weapon will cancel the reload animation. Aim down sights zoom time is 0.24s. Vs. Medium, Repeater is stronger than Pike for ranged duals."
Cerberus 12GA,104,-,100,3,312,2.95,-,-,-,0.60,2,1.20,3,4.15,4,-,-,-,-,-,-,10m,17.5m,~63%,"Deals 104 damage on hit (8 x 13 pellets), and then an extra ~31 damage from the fire DoT that last for ~2 seconds.  DoT does not stack, and it resets on every hit."
Chimera-XB,45,67.5,260,15,675,2.15,2.15,-,-,0.69,4,1.15,6,1.62,8,0.46,3,0.69,4,1.15,6,20m,30m,~60%,
CL-40 (Direct),105,-,75,5,525,3.95,-,-,-,0.80,2,1.60,3,2.40,4,-,-,-,-,-,-,-,-,-,Self damage multiplier is 1.4. Damage modifier at the edge of the inner blast radius is 75% and outer blast radius is 10%.
CL-40 (Splash),90,-,75,5,450,3.95,-,-,-,0.80,2,1.60,3,2.40,4,-,-,-,-,-,-,-,-,-,Inner blast radius for maximum damage is 0.6m.
Dual Blades,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"LMB combo = 2x50 damage, then 2x60 damage, then 100 damage.  Can swap-cancel the combo when started.  Swap-cancel will not optimize TTK, but quick melee will. Deflecting bullets deals 100% damage to the enemy, and 10% to you (30% if glancing).  Blocking melee hits will reduce their damage to 25%."
FAMAS,23,34.5,1080,27,621,2.6,2.15,3,0.27,0.87,7,1.37,11,2.18,16,0.49,5,0.93,8,1.37,11,35m,42.5m,~50%,"15 bullets deal 345 damage to the body, so a Heavy player may be killable within 5 bursts upon taking chip damage.  In that scenario, its TTK vs. Heavy @ Body = 1.64s, and its TTK vs. Heavy @ Head = 1.14s (with 10 headshots). Recoil recovery begins at 0.24s. Recoil recovery speed is 0.8."
FCAR,23,34.5,540,25,575,2.1,2.1,-,-,0.67,7,1.11,11,1.67,16,0.44,5,0.78,8,1.11,11,35m,40m,~55%,
Model 1887,108,-,69,7,756,4.3,-,-,-,0.87,2,1.74,3,2.61,4,-,-,-,-,-,-,20m,30m,~65%,Firing the weapon will cancel the reload animation. Tactical reload intro animation duration is 1.5s.
P90,14,21,900,50,700,2.7,2.45,-,-,0.67,11,1.13,18,1.60,25,0.47,8,0.73,12,1.07,17,18m,24m,~62%,
Pike .556,49,73.5,200,12,588,3.25,2.1,-,-,0.90,4,1.50,6,2.10,8,0.60,3,0.90,4,1.20,5,40m,50m,~80%,"Vs. Heavy, Pike is stronger than Repeater for ranged duals."
R.357,74,148,140,6,444,2.5,2.2,-,-,0.86,3,1.29,4,1.71,5,0.43,2,0.43,2,0.86,3,27.5m,44m,~40%,
Riot Shield,90,-,-,-,-,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,
HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,
.50 Akimbo,44,88,230,14,616,3,2.2,-,-,0.78,4,1.30,6,1.83,8,0.26,2,0.52,3,0.78,4,32m,39m,~50%,
BFR Titan,88,132,80.5,5,440,5,-,-,-,0.75,2,1.49,3,2.24,4,0.75,2,0.75,2,1.49,3,25m,40m,~65%,
Flamethrower,30,-,170,30,900,3.55,3.55,-,-,1.41,5,2.82,9,3.88,12,-,-,-,-,-,-,-,-,-,(Need information about whether or not the fire DoT sticks to the player while dealing damage with Flamethrower ammo)
KS-23,100,-,78,6,600,5.55,-,-,-,0.77,2,1.54,3,2.31,4,-,-,-,-,-,-,18m,23m,~70%,"Shots are hitscan within 25m, and then they become projectiles afterwards (with a projectile velocity of 280 m/s).  Firing the weapon will cancel the reload animation."
Lewis Gun,23,34.5,500,47,1081,3.55,3.25,-,-,0.72,7,1.20,11,1.80,16,0.48,5,0.84,8,1.20,11,35m,40m,~67%,
M134 Minigun,11,14.6,1500,300,3300,5.25,5,-,-,0.52,14,0.88,23,1.24,32,0.40,11,0.68,18,0.92,24,30m,50m,~53%,TTK assumes a full ramp-up to maximum fire rate.  Major levels of spread make it 100% accurate only at extreme close range (within ~5m).  Spin-up time until minimum fire rate (500 RPM) is 0.90s.  Spin-up time until maximum fire rate is 1.60s.
M60,20,30,580,70,1400,3.55,3.55,-,-,0.72,8,1.24,13,1.76,18,0.41,5,0.83,9,1.14,12,25m,35m,~50%,
MGL-32,83,-,90,6,498,3.1,2.85,-,-,0.67,2,2.00,4,2.67,5,-,-,-,-,-,-,-,-,-,Rounds detonate on impact after the 1st bounce. Maximum fuse time = 2.5s. Explosion inner radius = 2m. Damage modifier at the edge of the inner blast radius is 90% and outer blast radius is 12%.
SA1216,72,-,190,16,1152,3.25,2.35,-,-,0.63,3,0.95,4,1.26,5,-,-,-,-,-,-,12.5m,20m,~67%,"Quick reload is 0.80s long. It triggers when you have emptied a magazine, and when you have a ""quick magazine"" available (indicated by the bars near your ammo count). Otherwise, a normal reload will occur.  Quick-magazine variant in source: 16 (4).  Quick-reload variant in source: 3.25s (0.80s)."
ShAK-50,30,45,420,20,600,3.2,2.4,-,-,0.57,5,1.14,9,1.57,12,0.43,4,0.71,6,1.00,8,15m,25m,~67%,"Shoots 2 bullets per round, spread out horizontally, each dealing 15 damage."
Sledgehammer,100,-,-,-,-,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,
Sledgehammer (Alt.),175,-,-,-,-,-,-,-,-,-,1,-,2,-,2,-,-,-,-,-,-,-,-,-,Cannot hit multiple targets in one swing.
Spear,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"LMB combo = 65 damage, then 80 damage, then 90 damage.  Has a ~4.4m range on 1st attack then ~4.6m range on 2nd and 3rd attack (credit to u/beansoncrayons on reddit)."
Spear (Alt.),105,-,-,-,-,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,Damage is per hit in a 3-hit combo.  Has a 3m radius.
